"iso3c","country_wb","population_2017","country_2017","estimate","lower_bound","upper_bound","rate","map_names","location","hits","keyword","geo","gprop"
"MDG","Madagascar",25570540,"Madagascar",5950,190,11200,23.2689649886158,"Madagascar","Madagascar",40,"paludisme","world","web"
"MDV","Maldives",496402,NA,NA,NA,NA,0,"Maldives","Maldives",NA,"paludisme","world","web"
"MEA","Middle East & North Africa",441255234,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"MEX","Mexico",124777324,"Mexico",0,NA,NA,0,"Mexico","Mexico",NA,"paludisme","world","web"
"MHL","Marshall Islands",58058,NA,NA,NA,NA,0,"Marshall Islands","Marshall Islands",NA,"paludisme","world","web"
"MIC","Middle income",5619111361,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"MKD","North Macedonia",2081996,NA,NA,NA,NA,0,"North Macedonia","North Macedonia",NA,"paludisme","world","web"
"MLI","Mali",18512394,"Mali",12425,9870,15000,67.1171972679493,"Mali","Mali",50,"paludisme","world","web"
"MLT","Malta",467999,NA,NA,NA,NA,0,"Malta","Malta",NA,"paludisme","world","web"
"MMR","Myanmar",53382581,"Myanmar",218,10,390,0.408372911006307,"Myanmar","Myanmar (Burma)",NA,"paludisme","world","web"
"MNA","Middle East & North Africa (excluding high income)",376546755,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"MNE","Montenegro",622373,NA,NA,NA,NA,0,"Montenegro","Montenegro",NA,"paludisme","world","web"
"MNG","Mongolia",3113779,NA,NA,NA,NA,0,"Mongolia","Mongolia",NA,"paludisme","world","web"
"MNP","Northern Mariana Islands",56562,NA,NA,NA,NA,0,"Northern Mariana Islands","Northern Mariana Islands",NA,"paludisme","world","web"
"MOZ","Mozambique",28649007,"Mozambique",14713,12200,17200,51.356055726469,"Mozambique","Mozambique",NA,"paludisme","world","web"
"MRT","Mauritania",4282574,"Mauritania",1421,1230,1610,33.1809794763616,"Mauritania","Mauritania",13,"paludisme","world","web"
"MSR",NA,NA,NA,NA,NA,NA,NA,"Montserrat","Montserrat",NA,"paludisme","world","web"
"MTQ",NA,NA,NA,NA,NA,NA,NA,"Martinique","Martinique",3,"paludisme","world","web"
"MUS","Mauritius",1264613,NA,NA,NA,NA,0,"Mauritius","Mauritius",NA,"paludisme","world","web"
"MWI","Malawi",17670260,"Malawi",7077,6060,8090,40.0503444771045,"Malawi","Malawi",NA,"paludisme","world","web"
"MYS","Malaysia",31105028,"Malaysia",10,NA,NA,0.0321491432189034,"Malaysia","Malaysia",NA,"paludisme","world","web"
"MYT",NA,NA,NA,NA,NA,NA,NA,"Mayotte","Mayotte",NA,"paludisme","world","web"
"NAC","North America",361751263,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"NAM","Namibia",2402603,"Namibia",229,7,420,9.53132914593048,"Namibia","Namibia",NA,"paludisme","world","web"
"NCL","New Caledonia",280350,NA,NA,NA,NA,0,"New Caledonia","New Caledonia",11,"paludisme","world","web"
"NER","Niger",21602472,"Niger",17155,13000,21300,79.4122080102685,"Niger","Niger",85,"paludisme","world","web"
"NFK",NA,NA,NA,NA,NA,NA,NA,"Norfolk Island","Norfolk Island",NA,"paludisme","world","web"
"NGA","Nigeria",190873311,"Nigeria",81640,64400,98800,42.7718257582905,"Nigeria","Nigeria",NA,"paludisme","world","web"
"NIC","Nicaragua",6384855,"Nicaragua",10,2,20,0.156620628033056,"Nicaragua","Nicaragua",NA,"paludisme","world","web"
"NIU",NA,NA,NA,NA,NA,NA,NA,"Niue","Niue",NA,"paludisme","world","web"
"NLD","Netherlands",17131296,NA,NA,NA,NA,0,"Netherlands","Netherlands",NA,"paludisme","world","web"
"NOR","Norway",5276968,NA,NA,NA,NA,0,"Norway","Norway",NA,"paludisme","world","web"
"NPL","Nepal",27627124,"Nepal",1,0,3,0.00361963120012058,"Nepal","Nepal",NA,"paludisme","world","web"
"NRU","Nauru",12876,NA,NA,NA,NA,0,"Nauru","Nauru",NA,"paludisme","world","web"
"NZL","New Zealand",4793900,NA,NA,NA,NA,0,"New Zealand","New Zealand",NA,"paludisme","world","web"
"OED","OECD members",1296225760,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"OMN","Oman",4665935,"Oman",0,NA,NA,0,"Oman","Oman",NA,"paludisme","world","web"
"OSS","Other small states",30148800,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"PAK","Pakistan",207896686,"Pakistan",805,160,1480,0.38721155949547,"Pakistan","Pakistan",NA,"paludisme","world","web"
"PAN","Panama",4106771,"Panama",0,NA,NA,0,"Panama","Panama",NA,"paludisme","world","web"
"PCN",NA,NA,NA,NA,NA,NA,NA,"Pitcairn Islands","Pitcairn Islands",NA,"paludisme","world","web"
