"","year","ISO","CCODE","language_type","hits_mean","hits_median","hits_max","hits_sd","HRINGO_count","theta_mean","Amnesty","State","HRW","gdp_growth","gdp_pc_currentus","gini","literacy_per","rat_sum"
"56",2012,"AU",900,"English",15.5990566037736,17.5,23.5,4.96413570761895,10,2.01240480375107,1,1,NA,3.8919401,67864.688,NA,NA,17
"57",2013,"AU",900,"English",15.5192307692308,16.125,24.75,4.84511229200851,NA,1.98475217847822,NA,1,1,2.6394823,67990.289,NA,NA,17
"58",2014,"AU",900,"English",16.0961538461538,16.875,25,5.50849474255975,NA,1.87864054164935,2,1,1,2.5583375,62327.555,NA,NA,17
"59",2015,"AU",900,"English",16.7740384615385,18.5,24.75,5.5590104422038,10,1.68987081053567,2,1,2,2.3511364,56561.414,NA,NA,17
"60",2016,"AU",900,"English",16.5721153846154,16.625,24.5,5.48802987491814,NA,NA,NA,NA,NA,2.8273106,49896.68,NA,NA,17
"61",2012,"NZ",920,"English",14.2594339622642,14.5,25,5.27420297117319,7,3.15937977441098,1,1,NA,2.4994166,39970.258,NA,NA,18
"62",2013,"NZ",920,"English",13.6009615384615,14.375,23.5,5.01816787894116,NA,3.16632781186755,NA,1,NA,2.0180099,42949.328,NA,NA,18
"63",2014,"NZ",920,"English",13.8125,14.125,24.75,5.88031674316954,NA,3.18001549860457,1,1,NA,3.5449915,44560.641,NA,NA,18
"64",2015,"NZ",920,"English",14.7836538461538,16.5,23.25,5.7026027868417,6,3.18350644966047,1,1,NA,4.4342952,38649.379,NA,NA,18
"65",2016,"NZ",920,"English",12.7788461538462,13.625,21,4.83392166284622,NA,NA,NA,NA,NA,3.4714568,40331.961,NA,NA,19
"66",2012,"NG",475,"English",11.9818867924528,12,22.08,3.81041944824359,11,-1.34611968325038,4,4,NA,4.2792773,2755.2979,NA,NA,18
"67",2013,"NG",475,"English",11.9215384615385,11.88,21.36,4.42479971170309,NA,-1.38152574442689,NA,4,4,5.3944163,2996.9644,NA,NA,18
"68",2014,"NG",475,"English",11.7784615384615,11.16,19.44,3.74344676269857,NA,-1.49533683632452,4,5,4,6.3097186,3221.6782,NA,NA,18
"69",2015,"NG",475,"English",12.3369230769231,11.88,24,3.93335337571906,11,-1.46881668788984,5,4,3,2.6526933,2655.158,NA,NA,18
"70",2016,"NG",475,"English",11.46,11.4,18.72,3.44198301257045,NA,NA,NA,NA,NA,-1.616869,2175.6733,NA,NA,18
"71",2012,"LK",780,"English",2.16981132075472,1.61,23,3.34809388399179,6,-1.04250352893717,4,4,NA,9.1445789,3350.6111,39.200001,NA,14
"72",2013,"LK",780,"English",1.64096153846154,1.38,4.83,0.831186866074556,NA,-0.806778135941569,NA,4,3,3.3957229,3609.1428,NA,NA,14
"73",2014,"LK",780,"English",1.35346153846154,1.265,4.14,0.594998383966778,NA,-0.670480605203377,4,4,3,4.9607067,3820.6782,NA,NA,14
"74",2015,"LK",780,"English",1.035,0.92,2.07,0.37970835041193,7,-0.421373489452073,3,3,3,5.0076833,3842.1638,NA,NA,15
"75",2016,"LK",780,"English",0.884615384615385,0.92,1.61,0.303440801077694,NA,NA,NA,NA,NA,4.4688296,3857.3965,39.799999,NA,17
"76",2012,"KH",811,"English",12.1769811320755,11.5,22.31,5.33984499375492,5,-0.141729556364294,3,3,NA,7.3133454,951.11121,NA,NA,14
